;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;nan;nan;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
Mönchengladbach, kreisfreie Stadt;190552,0;132006,0;1563,0;130443,0;57766,0;31766,0;8921,0;7814,0;0,0;10225,0;11910,0;0,0;0,0;0,0;0,0;0,0;1956,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;85,0;1170,0;130836,0;46786,0;30547,0;9627,0;8169,0;0,0;17946,0;12373,0;582,0;350,0;279,0;1100,0;110,0;1280,0;0,0;126,0;0,0;85,0;0,0;6,0;0,0;613,0;0,0;0,0;130,0;142,0;22,0;111,0;0,0;0,0;0,0;0,0;91,0;118,0;243,0
Mülheim an der Ruhr, kreisfreie Stadt;124310,0;96328,0;1161,0;95167,0;30302,0;32077,0;6373,0;6552,0;0,0;9260,0;10060,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;243,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;300,0;0,0;0,0;0,0;0,0;0,0;0,0;756,0;95572,0;27160,0;27003,0;7395,0;7055,0;0,0;13313,0;10119,0;384,0;158,0;165,0;811,0;74,0;806,0;0,0;74,0;0,0;113,0;0,0;23,0;0,0;375,0;0,0;0,0;83,0;102,0;35,0;81,0;0,0;0,0;0,0;0,0;53,0;69,0;121,0
Oberhausen, kreisfreie Stadt;152264,0;109648,0;1626,0;108022,0;30956,0;42098,0;8352,0;5362,0;0,0;6657,0;13945,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;201,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;451,0;0,0;0,0;0,0;0,0;0,0;0,0;1117,0;108531,0;28171,0;36209,0;8978,0;5678,0;0,0;10346,0;14226,0;602,0;403,0;257,0;1088,0;114,0;1000,0;0,0;128,0;0,0;112,0;0,0;15,0;0,0;604,0;0,0;0,0;99,0;105,0;22,0;86,0;0,0;0,0;0,0;0,0;72,0;104,0;112,0
Remscheid, kreisfreie Stadt;77247,0;55557,0;859,0;54698,0;21466,0;16631,0;3220,0;2929,0;0,0;3938,0;5470,0;0,0;0,0;0,0;0,0;0,0;961,0;0,0;0,0;0,0;83,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;580,0;54977,0;17467,0;14226,0;3991,0;3479,0;0,0;7350,0;5847,0;265,0;130,0;122,0;452,0;55,0;495,0;0,0;44,0;0,0;21,0;0,0;5,0;0,0;688,0;0,0;0,0;50,0;41,0;8,0;89,0;0,0;0,0;0,0;0,0;38,0;65,0;49,0
Solingen, kreisfreie Stadt;112624,0;81991,0;1124,0;80867,0;30460,0;25415,0;5307,0;4645,0;0,0;6328,0;7442,0;0,0;0,0;0,0;0,0;0,0;1105,0;0,0;0,0;0,0;165,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;769,0;81222,0;25465,0;20151,0;6609,0;6076,0;0,0;11710,0;7874,0;409,0;157,0;155,0;660,0;86,0;657,0;0,0;77,0;0,0;69,0;0,0;11,0;0,0;498,0;0,0;0,0;91,0;102,0;9,0;119,0;0,0;0,0;0,0;0,0;53,0;83,0;101,0
Wuppertal, kreisfreie Stadt;241103,0;176421,0;2218,0;174203,0;53759,0;54474,0;14698,0;12816,0;0,0;15192,0;18730,0;1407,0;0,0;0,0;0,0;0,0;2873,0;0,0;0,0;0,0;254,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1584,0;174837,0;47727,0;45062,0;18189,0;14925,0;0,0;22324,0;18931,0;939,0;423,0;374,0;1484,0;206,0;1683,0;0,0;154,0;0,0;210,0;0,0;14,0;0,0;844,0;0,0;0,0;227,0;270,0;50,0;293,0;0,0;0,0;0,0;0,0;162,0;160,0;186,0
Kleve, Landkreis;226096,0;169057,0;1674,0;167383,0;75375,0;51197,0;7096,0;8230,0;0,0;12692,0;11019,0;0,0;0,0;1606,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;168,0;1399,0;167658,0;69700,0;39316,0;9366,0;10098,0;0,0;22687,0;11621,0;560,0;330,0;614,0;1170,0;157,0;969,0;0,0;125,0;0,0;63,0;0,0;5,0;0,0;56,0;0,0;0,0;135,0;165,0;15,0;120,0;0,0;0,0;0,0;0,0;73,0;142,0;171,0
Mettmann, Landkreis;368473,0;285811,0;3275,0;282536,0;119451,0;78287,0;15472,0;18581,0;0,0;23997,0;25249,0;1451,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48,0;2206,0;283605,0;94727,0;67088,0;18674,0;20395,0;0,0;45448,0;26979,0;1337,0;518,0;638,0;2480,0;298,0;1893,0;0,0;270,0;0,0;132,0;0,0;30,0;0,0;1064,0;0,0;0,0;245,0;299,0;37,0;307,0;0,0;0,0;0,0;0,0;163,0;276,0;307,0
Rhein-Kreis Neuss, Landkreis;334133,0;257790,0;2592,0;255198,0;115620,0;65819,0;12493,0;14921,0;0,0;23561,0;20128,0;0,0;0,0;1508,0;0,0;0,0;1078,0;0,0;0,0;0,0;70,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1919,0;255871,0;94615,0;56021,0;14876,0;16283,0;0,0;43062,0;21918,0;1063,0;490,0;775,0;1886,0;278,0;1853,0;0,0;203,0;0,0;109,0;0,0;18,0;0,0;973,0;0,0;0,0;225,0;327,0;36,0;217,0;0,0;0,0;0,0;0,0;141,0;201,0;301,0
Viersen, Landkreis;227423,0;173280,0;1690,0;171590,0;82165,0;42932,0;8747,0;11478,0;0,0;14233,0;12035,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1262,0;172018,0;65475,0;38368,0;10342,0;11591,0;0,0;27576,0;12841,0;712,0;366,0;433,0;1446,0;149,0;1207,0;0,0;138,0;0,0;52,0;0,0;9,0;0,0;363,0;0,0;0,0;151,0;185,0;29,0;162,0;0,0;0,0;0,0;0,0;96,0;163,0;164,0
Wesel, Landkreis;357666,0;275618,0;3184,0;272434,0;98548,0;93822,0;16545,0;15421,0;0,0;20665,0;25039,0;960,0;0,0;0,0;0,0;0,0;850,0;0,0;0,0;0,0;481,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;103,0;0,0;0,0;0,0;0,0;0,0;0,0;2275,0;273343,0;85860,0;81978,0;19553,0;16803,0;0,0;32747,0;26349,0;1268,0;618,0;686,0;2114,0;212,0;2039,0;0,0;256,0;0,0;234,0;0,0;25,0;0,0;1182,0;0,0;0,0;223,0;253,0;31,0;270,0;0,0;0,0;0,0;0,0;111,0;277,0;254,0
Bonn, kreisfreie Stadt;227583,0;180439,0;1498,0;178941,0;57330,0;62377,0;10193,0;15056,0;0,0;18724,0;10882,0;857,0;0,0;806,0;0,0;0,0;2617,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,0;1231,0;179208,0;53334,0;36119,0;17133,0;25197,0;0,0;28113,0;13136,0;663,0;147,0;412,0;684,0;253,0;1950,0;0,0;107,0;0,0;81,0;0,0;22,0;0,0;325,0;0,0;0,0;312,0;431,0;30,0;206,0;0,0;0,0;0,0;0,0;211,0;69,0;273,0
Köln, kreisfreie Stadt;732825,0;555837,0;4989,0;550848,0;171284,0;169537,0;47432,0;66903,0;0,0;43646,0;37843,0;0,0;0,0;0,0;0,0;0,0;12994,0;0,0;0,0;0,0;1078,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;131,0;3649,0;552188,0;145657,0;126988,0;63324,0;74849,0;0,0;76122,0;40019,0;2405,0;653,0;1198,0;3775,0;655,0;7449,0;0,0;448,0;0,0;472,0;0,0;59,0;0,0;3095,0;0,0;0,0;968,0;1610,0;124,0;537,0;0,0;0,0;0,0;0,0;550,0;440,0;791,0
Leverkusen, kreisfreie Stadt;116593,0;87628,0;901,0;86727,0;29434,0;33663,0;4031,0;3691,0;0,0;5535,0;7823,0;0,0;0,0;0,0;0,0;0,0;1686,0;0,0;0,0;0,0;134,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;730,0;871,0;86757,0;26748,0;23683,0;6449,0;6026,0;0,0;11274,0;8936,0;396,0;232,0;216,0;662,0;75,0;954,0;0,0;113,0;0,0;101,0;0,0;9,0;0,0;388,0;0,0;0,0;67,0;103,0;13,0;90,0;0,0;0,0;0,0;0,0;52,0;78,0;92,0
Städteregion Aachen, Landkreis;407521,0;313773,0;3240,0;310533,0;109416,0;108444,0;21067,0;20886,0;0,0;21270,0;22931,0;4088,0;0,0;0,0;0,0;2431,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2365,0;311408,0;91483,0;95202,0;24564,0;26354,0;0,0;39008,0;23124,0;1644,0;572,0;602,0;1972,0;1096,0;2412,0;0,0;200,0;0,0;98,0;0,0;23,0;0,0;1110,0;0,0;0,0;317,0;555,0;43,0;276,0;0,0;0,0;0,0;0,0;269,0;180,0;304,0
Düren, Landkreis;199675,0;151595,0;1757,0;149838,0;62711,0;47543,0;6611,0;8235,0;0,0;8788,0;13404,0;1420,0;0,0;1126,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1461,0;150134,0;52412,0;43816,0;8809,0;8198,0;0,0;17155,0;14432,0;789,0;411,0;500,0;1293,0;142,0;844,0;0,0;170,0;0,0;32,0;0,0;9,0;0,0;392,0;0,0;0,0;112,0;133,0;27,0;117,0;0,0;0,0;0,0;0,0;69,0;143,0;129,0
Rhein-Erft-Kreis, Landkreis;345328,0;266404,0;3002,0;263402,0;103894,0;80866,0;13115,0;14959,0;0,0;23953,0;23980,0;2306,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;329,0;2204,0;264200,0;88179,0;68410,0;16296,0;18331,0;0,0;38057,0;25350,0;1326,0;591,0;750,0;2169,0;181,0;1843,0;0,0;314,0;0,0;72,0;0,0;25,0;0,0;850,0;0,0;0,0;247,0;287,0;30,0;227,0;0,0;0,0;0,0;0,0;164,0;236,0;265,0
Euskirchen, Landkreis;150407,0;112897,0;1385,0;111512,0;49806,0;26518,0;6310,0;6084,0;0,0;12011,0;10783,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1033,0;111864,0;41988,0;25102,0;6499,0;6642,0;0,0;16751,0;11066,0;372,0;287,0;365,0;1043,0;126,0;676,0;0,0;143,0;0,0;28,0;0,0;3,0;0,0;63,0;0,0;0,0;124,0;118,0;14,0;128,0;0,0;0,0;0,0;0,0;56,0;137,0;133,0
Heinsberg, Landkreis;190051,0;142330,0;1726,0;140604,0;64121,0;39301,0;6424,0;6964,0;0,0;9334,0;11652,0;1272,0;0,0;1536,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1440,0;140890,0;55605,0;36421,0;7909,0;7281,0;0,0;16111,0;12313,0;669,0;457,0;737,0;1179,0;123,0;805,0;0,0;137,0;0,0;46,0;0,0;8,0;0,0;368,0;0,0;0,0;100,0;149,0;8,0;119,0;0,0;0,0;0,0;0,0;61,0;134,0;150,0
Oberbergischer Kreis, Landkreis;208418,0;156593,0;1962,0;154631,0;67603,0;41305,0;7999,0;9489,0;0,0;12123,0;15648,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;464,0;1559,0;155034,0;56567,0;35078,0;9887,0;9995,0;0,0;21353,0;16413,0;640,0;328,0;386,0;1238,0;253,0;1099,0;0,0;204,0;0,0;52,0;0,0;9,0;0,0;531,0;0,0;0,0;153,0;186,0;16,0;232,0;0,0;0,0;0,0;0,0;91,0;175,0;148,0
Rheinisch-Bergischer Kreis, Landkreis;217425,0;174420,0;2180,0;172240,0;68948,0;42098,0;8409,0;11846,0;0,0;27049,0;12476,0;0,0;0,0;1414,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1891,0;172529,0;61423,0;36221,0;11042,0;15581,0;0,0;28787,0;13777,0;505,0;225,0;802,0;1286,0;231,0;1173,0;0,0;142,0;0,0;43,0;0,0;10,0;0,0;296,0;0,0;0,0;187,0;205,0;17,0;175,0;0,0;0,0;0,0;0,0;97,0;132,0;172,0
Rhein-Sieg-Kreis, Landkreis;453435,0;358808,0;5347,0;353461,0;160428,0;89234,0;24227,0;25405,0;0,0;33259,0;14592,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6316,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2888,0;355920,0;123759,0;75505,0;24154,0;28949,0;0,0;57409,0;33463,0;1367,0;546,0;966,0;2630,0;449,0;2878,0;0,0;967,0;0,0;115,0;0,0;15,0;0,0;533,0;0,0;0,0;432,0;450,0;33,0;356,0;0,0;0,0;0,0;0,0;225,0;304,0;415,0
Bottrop, kreisfreie Stadt;88352,0;66367,0;831,0;65536,0;20060,0;26155,0;4077,0;3034,0;0,0;3890,0;7842,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;114,0;0,0;0,0;0,0;0,0;0,0;364,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;579,0;65788,0;18476,0;21388,0;4719,0;3161,0;0,0;6826,0;8244,0;278,0;195,0;135,0;595,0;277,0;481,0;0,0;52,0;0,0;62,0;0,0;7,0;0,0;408,0;0,0;0,0;48,0;46,0;218,0;36,0;0,0;0,0;0,0;0,0;29,0;51,0;56,0
Gelsenkirchen, kreisfreie Stadt;175210,0;119414,0;1993,0;117421,0;29768,0;45017,0;7614,0;5444,0;0,0;7864,0;19836,0;0,0;0,0;1276,0;0,0;0,0;0,0;0,0;0,0;0,0;602,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1348,0;118066,0;26452,0;39524,0;8703,0;5489,0;0,0;10834,0;20113,0;550,0;417,0;461,0;1273,0;109,0;1010,0;0,0;132,0;0,0;384,0;0,0;24,0;0,0;1904,0;0,0;0,0;115,0;100,0;39,0;86,0;0,0;0,0;0,0;0,0;75,0;163,0;109,0
Münster, kreisfreie Stadt;232294,0;191090,0;1236,0;189854,0;70606,0;54778,0;13024,0;24248,0;0,0;13219,0;8569,0;1003,0;0,0;0,0;0,0;1027,0;2722,0;0,0;0,0;0,0;107,0;0,0;0,0;0,0;0,0;0,0;173,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;378,0;964,0;190126,0;62276,0;39714,0;19287,0;27739,0;0,0;25684,0;9393,0;712,0;111,0;246,0;781,0;641,0;1935,0;0,0;110,0;0,0;64,0;0,0;8,0;0,0;137,0;0,0;0,0;218,0;337,0;66,0;192,0;0,0;0,0;0,0;0,0;158,0;95,0;222,0
Borken, Landkreis;278058,0;217143,0;2925,0;214218,0;113493,0;52944,0;9591,0;13231,0;0,0;18105,0;3672,0;0,0;0,0;3182,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1471,0;215672,0;101248,0;46112,0;9429,0;12249,0;0,0;28147,0;13236,0;646,0;295,0;668,0;1027,0;185,0;1013,0;0,0;140,0;0,0;73,0;0,0;15,0;0,0;340,0;0,0;0,0;97,0;139,0;29,0;160,0;0,0;0,0;0,0;0,0;103,0;174,0;147,0
Coesfeld, Landkreis;172726,0;140110,0;2199,0;137911,0;70824,0;32555,0;8652,0;11116,0;0,0;14764,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;877,0;139233,0;61149,0;29430,0;7483,0;10234,0;0,0;18926,0;8658,0;446,0;215,0;221,0;767,0;158,0;728,0;0,0;104,0;0,0;30,0;0,0;6,0;0,0;41,0;0,0;0,0;75,0;143,0;14,0;109,0;0,0;0,0;0,0;0,0;57,0;133,0;106,0
Recklinghausen, Landkreis;473084,0;350228,0;7516,0;342712,0;115048,0;132249,0;24973,0;15930,0;0,0;28471,0;23867,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1847,0;0,0;0,0;0,0;0,0;0,0;327,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3108,0;347120,0;102678,0;108671,0;23744,0;18408,0;0,0;36348,0;42630,0;1596,0;894,0;844,0;3029,0;245,0;2631,0;0,0;420,0;0,0;388,0;0,0;19,0;0,0;2650,0;0,0;0,0;270,0;285,0;158,0;369,0;0,0;0,0;0,0;0,0;160,0;376,0;307,0
Steinfurt, Landkreis;339903,0;264853,0;2473,0;262380,0;123113,0;75544,0;14377,0;16804,0;0,0;16157,0;15123,0;0,0;0,0;1124,0;0,0;0,0;0,0;0,0;0,0;0,0;138,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1915,0;262938,0;104760,0;68223,0;16147,0;18572,0;0,0;31196,0;17068,0;945,0;432,0;701,0;1369,0;231,0;1593,0;0,0;124,0;0,0;97,0;0,0;18,0;0,0;347,0;0,0;0,0;202,0;193,0;31,0;214,0;0,0;0,0;0,0;0,0;105,0;197,0;173,0
Warendorf, Landkreis;209604,0;163531,0;1945,0;161586,0;75017,0;45094,0;7738,0;8968,0;0,0;11291,0;11078,0;0,0;0,0;0,0;0,0;0,0;1886,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;514,0;1387,0;162144,0;65357,0;38992,0;8997,0;10815,0;0,0;21175,0;12025,0;538,0;271,0;472,0;808,0;153,0;1056,0;0,0;142,0;0,0;30,0;0,0;13,0;0,0;622,0;0,0;0,0;102,0;90,0;12,0;153,0;0,0;0,0;0,0;0,0;69,0;119,0;133,0
Bielefeld, kreisfreie Stadt;237576,0;179272,0;2012,0;177260,0;54163,0;58701,0;15999,0;17056,0;0,0;13065,0;14583,0;0,0;0,0;0,0;0,0;0,0;3405,0;0,0;0,0;0,0;288,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1495,0;177777,0;48916,0;45103,0;19943,0;19748,0;0,0;20524,0;15987,0;909,0;277,0;366,0;1059,0;192,0;2116,0;0,0;135,0;0,0;142,0;0,0;27,0;0,0;1026,0;0,0;0,0;253,0;288,0;46,0;230,0;0,0;0,0;0,0;0,0;122,0;134,0;234,0
Gütersloh, Landkreis;263215,0;199263,0;2367,0;196896,0;91461,0;54794,0;8700,0;11475,0;0,0;12871,0;15952,0;155,0;0,0;1415,0;0,0;0,0;68,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1908,0;197355,0;75432,0;45035,0;12033,0;15620,0;0,0;25864,0;17199,0;697,0;366,0;745,0;1130,0;254,0;1232,0;0,0;172,0;0,0;47,0;0,0;11,0;0,0;501,0;0,0;0,0;157,0;147,0;23,0;215,0;0,0;0,0;0,0;0,0;84,0;188,0;203,0
Herford, Landkreis;191877,0;141608,0;1764,0;139844,0;49607,0;51836,0;7810,0;7086,0;0,0;7736,0;14085,0;0,0;0,0;1684,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1353,0;140255,0;44102,0;40738,0;9753,0;9627,0;0,0;15845,0;15283,0;537,0;288,0;856,0;1032,0;112,0;836,0;0,0;120,0;0,0;65,0;0,0;7,0;0,0;379,0;0,0;0,0;92,0;108,0;14,0;134,0;0,0;0,0;0,0;0,0;67,0;122,0;138,0
Höxter, Landkreis;112543,0;86265,0;1020,0;85245,0;43769,0;19475,0;3974,0;4079,0;0,0;5480,0;7338,0;0,0;0,0;534,0;0,0;596,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;847,0;85418,0;36255,0;18910,0;4762,0;4615,0;0,0;10808,0;7624,0;292,0;185,0;286,0;460,0;210,0;460,0;0,0;58,0;0,0;11,0;0,0;7,0;0,0;96,0;0,0;0,0;76,0;44,0;7,0;68,0;0,0;0,0;0,0;0,0;22,0;86,0;76,0
Lippe, Landkreis;268984,0;202556,0;2670,0;199886,0;72667,0;63644,0;11620,0;12992,0;0,0;16023,0;20110,0;0,0;0,0;2555,0;0,0;275,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2246,0;200310,0;62898,0;55637,0;13825,0;14448,0;0,0;24651,0;21720,0;864,0;429,0;1343,0;1375,0;259,0;1283,0;0,0;183,0;0,0;58,0;0,0;11,0;0,0;300,0;0,0;0,0;199,0;132,0;26,0;263,0;0,0;0,0;0,0;0,0;89,0;159,0;158,0
Minden-Lübbecke, Landkreis;241302,0;178237,0;1959,0;176278,0;63021,0;65237,0;9405,0;8730,0;0,0;12250,0;17344,0;0,0;0,0;291,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1772,0;176465,0;58052,0;51168,0;11268,0;11483,0;0,0;20206,0;18644,0;729,0;347,0;564,0;1137,0;178,0;1218,0;0,0;181,0;0,0;56,0;0,0;5,0;0,0;257,0;0,0;0,0;189,0;140,0;28,0;181,0;0,0;0,0;0,0;0,0;85,0;163,0;186,0
Paderborn, Landkreis;229056,0;171804,0;1660,0;170144,0;91163,0;33516,0;8926,0;10305,0;0,0;9188,0;15380,0;1666,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1396,0;170408,0;69450,0;31904,0;11433,0;12628,0;0,0;22800,0;16893,0;741,0;269,0;420,0;962,0;198,0;1167,0;0,0;158,0;0,0;39,0;0,0;13,0;0,0;267,0;0,0;0,0;153,0;179,0;9,0;277,0;0,0;0,0;0,0;0,0;106,0;145,0;197,0
