;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;nan;nan;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
Gifhorn, Landkreis;135685,0;104823,0;912,0;103911,0;40699,0;35703,0;5379,0;5563,0;0,0;5030,0;10765,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;135,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;570,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,0;827,0;103996,0;37617,0;28356,0;6142,0;7353,0;0,0;9034,0;11877,0;401,0;281,0;371,0;996,0;93,0;830,0;0,0;0,0;0,0;48,0;0,0;0,0;0,0;0,0;0,0;0,0;96,0;110,0;6,0;205,0;0,0;0,0;0,0;0,0;0,0;0,0;180,0
Goslar, Landkreis;109372,0;80917,0;882,0;80035,0;27503,0;30573,0;5203,0;3968,0;0,0;4299,0;8285,0;175,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,0;615,0;80302,0;24948,0;25560,0;5625,0;4974,0;0,0;7300,0;8943,0;265,0;283,0;248,0;840,0;65,0;682,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;99,0;82,0;17,0;247,0;0,0;0,0;0,0;0,0;0,0;0,0;104,0
Helmstedt, Landkreis;73708,0;54912,0;634,0;54278,0;19269,0;20868,0;3141,0;2508,0;0,0;3022,0;5153,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;58,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;259,0;573,0;54339,0;18892,0;16930,0;3444,0;3135,0;0,0;4311,0;5387,0;200,0;405,0;197,0;586,0;52,0;487,0;0,0;0,0;0,0;25,0;0,0;0,0;0,0;0,0;0,0;0,0;73,0;47,0;10,0;79,0;0,0;0,0;0,0;0,0;0,0;0,0;79,0
Northeim, Landkreis;108355,0;81737,0;757,0;80980,0;33063,0;29034,0;3882,0;4218,0;0,0;3684,0;7016,0;83,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;634,0;81103,0;26385,0;27031,0;4630,0;5513,0;0,0;7177,0;7719,0;209,0;345,0;271,0;776,0;52,0;593,0;0,0;0,0;0,0;13,0;0,0;0,0;0,0;0,0;0,0;0,0;102,0;96,0;13,0;108,0;0,0;0,0;0,0;0,0;0,0;0,0;70,0
Peine, Landkreis;103238,0;80046,0;711,0;79335,0;25608,0;33464,0;4207,0;4486,0;0,0;3895,0;7365,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;155,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;155,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;575,0;79471,0;24647,0;26916,0;4878,0;5612,0;0,0;6214,0;8203,0;324,0;230,0;281,0;780,0;51,0;758,0;0,0;0,0;0,0;55,0;0,0;0,0;0,0;0,0;0,0;0,0;123,0;94,0;12,0;187,0;0,0;0,0;0,0;0,0;0,0;0,0;106,0
Wolfenbüttel, Landkreis;96897,0;77351,0;678,0;76673,0;24292,0;31639,0;4445,0;4258,0;0,0;3522,0;7562,0;644,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;311,0;530,0;76821,0;24161,0;23383,0;5435,0;6214,0;0,0;6992,0;7584,0;338,0;222,0;262,0;788,0;63,0;844,0;0,0;0,0;0,0;38,0;0,0;0,0;0,0;0,0;0,0;0,0;97,0;105,0;10,0;183,0;0,0;0,0;0,0;0,0;0,0;0,0;102,0
Göttingen, Landkreis;255274,0;196220,0;1711,0;194509,0;66367,0;68382,0;11151,0;20418,0;0,0;8907,0;14098,0;1400,0;0,0;1458,0;0,0;0,0;2159,0;0,0;0,0;0,0;169,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1426,0;194794,0;59462,0;56668,0;16165,0;21271,0;0,0;17504,0;15776,0;869,0;541,0;1159,0;1697,0;174,0;1990,0;0,0;0,0;0,0;83,0;0,0;0,0;0,0;0,0;0,0;0,0;445,0;347,0;74,0;305,0;0,0;0,0;0,0;0,0;0,0;0,0;264,0
Region Hannover, Landkreis;846165,0;653981,0;6080,0;647901,0;220297,0;225949,0;42436,0;50006,0;0,0;36316,0;56741,0;4424,0;0,0;4396,0;0,0;0,0;6569,0;0,0;0,0;0,0;398,0;0,0;0,0;0,0;0,0;0,0;369,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4649,0;649332,0;194416,0;178553,0;53488,0;68996,0;0,0;65187,0;61225,0;3325,0;1344,0;2416,0;5636,0;665,0;7863,0;0,0;0,0;0,0;330,0;0,0;0,0;0,0;0,0;0,0;0,0;1354,0;1307,0;299,0;1916,0;0,0;0,0;0,0;0,0;0,0;0,0;1012,0
Diepholz, Landkreis;169438,0;129956,0;1298,0;128658,0;56773,0;35207,0;6941,0;9981,0;0,0;9315,0;10441,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;902,0;129054,0;48595,0;32722,0;8034,0;10570,0;0,0;13800,0;10867,0;419,0;313,0;580,0;1204,0;204,0;985,0;0,0;0,0;0,0;21,0;0,0;0,0;0,0;0,0;0,0;0,0;230,0;143,0;17,0;177,0;0,0;0,0;0,0;0,0;0,0;0,0;173,0
Hameln-Pyrmont, Landkreis;116772,0;87102,0;749,0;86353,0;28599,0;33014,0;5712,0;4827,0;0,0;4888,0;8483,0;830,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;631,0;86471,0;28191,0;26159,0;6274,0;6538,0;0,0;7444,0;9114,0;374,0;225,0;247,0;822,0;72,0;560,0;0,0;0,0;0,0;25,0;0,0;0,0;0,0;0,0;0,0;0,0;106,0;84,0;16,0;101,0;0,0;0,0;0,0;0,0;0,0;0,0;119,0
Hildesheim, Landkreis;218349,0;169613,0;1752,0;167861,0;60457,0;62448,0;8502,0;12691,0;0,0;9330,0;14433,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1316,0;168297,0;54871,0;52077,0;10932,0;14806,0;0,0;13876,0;15695,0;593,0;468,0;453,0;1693,0;150,0;1445,0;0,0;0,0;0,0;56,0;0,0;0,0;0,0;0,0;0,0;0,0;320,0;304,0;32,0;305,0;0,0;0,0;0,0;0,0;0,0;0,0;221,0
