ID;CDU_Erststimmen;CDU_Zweitstimmen;SPD_Erststimmen;SPD_Zweitstimmen;AfD_Erststimmen;AfD_Zweitstimmen;DIE LINKE_Erststimmen;DIE LINKE_Zweitstimmen;FDP_Erststimmen;FDP_Zweitstimmen;GRÜNE_Erststimmen;GRÜNE_Zweitstimmen;CSU_Erststimmen;CSU_Zweitstimmen;FREIE WÄHLER_Erststimmen;FREIE WÄHLER_Zweitstimmen;Die PARTEI_Erststimmen;Die PARTEI_Zweitstimmen
24;0.16130895858373231;0.16043906423273327;0.21009608680350347;0.15527282144588395;0.05021481742179251;0.05036090654944121;0.029516644199929613;0.036090654944120906;0.023387541253577525;0.046429780932712675;0.0282748866149157;0.04126353814586335;0.0;0.0;0.0;0.0017397887019981009;0.0;0.005604510169795409
25;0.17331139749565852;0.15527961664512255;0.17857338712836382;0.14798333920900414;0.03681564756420803;0.04119759228067427;0.0291198245132986;0.04221343047775732;0.02325982216303028;0.045710107459490515;0.05331975400524893;0.05554728609294005;0.0;0.0;0.0038074346821262094;0.0030266233172731665;0.00563803256427331;0.0051967044015302855
26;0.1728017482786264;0.15250060006871374;0.1772351971284555;0.14005760659652008;0.044507841682263224;0.04802510718874475;0.033286948936897875;0.0419561769426146;0.028486399226891862;0.05113291404349047;0.03922488379061446;0.05412070715548604;0.0;0.0;0.0034482379943115054;0.0018951189704860321;0.005152746902782593;0.006167765093100857
27;0.2228043530302852;0.19070997719878655;0.13816907433352563;0.12841674809957185;0.040975468092036844;0.04264729544642892;0.027239797339989248;0.03152925109198582;0.03655650658723524;0.054157787536644804;0.03917020850748201;0.04148172567118374;0.0;0.0;0.0;0.002276196867482173;0.0;0.0038656101973619664
28;0.16817994707438988;0.1657806527491914;0.19414289914730962;0.15383122610996766;0.04988532784475155;0.05359600117612467;0.033590120552778595;0.03689503087327257;0.028744486915613054;0.04377536018817995;0.0283857688915025;0.038447515436636284;0.0;0.0;0.0;0.001452513966480447;0.0;0.003293149073801823
29;0.18209062213869212;0.16526613175268662;0.18808732109295936;0.15685087465664305;0.043470796588116235;0.04727181822562768;0.02560719965302877;0.03292612404221483;0.028101055370825502;0.041793166594380995;0.038224061491012484;0.044594236422341095;0.0;0.0;0.0;0.0013643920774902415;0.0;0.004352199893981013
30;0.17101657552765226;0.1577902544179079;0.20397276790607607;0.1728312365270555;0.046012008427821556;0.048861878722186364;0.023700203388179127;0.02729298858833989;0.03189662521769843;0.051736106882314975;0.026379568622197324;0.03383307554592067;0.0;0.0;0.0;0.0014614719458281066;0.0;0.0032152382808218346
31;0.22702543743567122;0.18970004411116012;0.14934568445816793;0.1416482870166152;0.044280252903984706;0.049698573739156;0.02132774591971769;0.026503455374209676;0.021305690339655934;0.042934862520217616;0.04018526687251875;0.04111895309513307;0.0;0.0;0.0;0.00176444640494045;0.0;0.0031612998088516395
32;0.1980357257735938;0.16796581819741385;0.17260309223082368;0.15452040400574701;0.047085754723050204;0.05228057384255785;0.023840413441125384;0.03002701949263397;0.024719619153818113;0.04452319173117749;0.037586044217614134;0.041065339995282314;0.0;0.0;0.0;0.001699440310509725;0.0;0.004047562884652499
33;0.2225397071807659;0.1869366528568795;0.14262081946694868;0.12235730156112043;0.05515344387631346;0.05934974337081704;0.023843713312699508;0.027569445118224067;0.02785566670224223;0.054721685893642;0.026681673086438918;0.03649082635567155;0.0;0.0;0.006044611757400526;0.0032600153298339915;0.0;0.004574694131002164
